# elotto v3 mode=649 focus=off score=high items=407/420 ranked=323 excl=84 void=0 blocks=4 paused_ms=0 pass_mean=-0,087758 pass_sigma=1,013669 pass_chi2=333,3502 pass_stouffer=-1,5772 v_eff=1,0560 null_flags=0 drift_t=0.00 unlimited=on runs_cap=100 rounds=5 run_s=1,00 run_segs=26087 gap_s=0,50
# nodes=master,192.168.178.145,192.168.178.155,192.168.178.103
order;item;n1;n2;n3;n4;n5;n6;e1;e2;z_raw;z_ctr;block;k;skip_rank;z0;z1;z2;z3;round
134;3;6;7;14;15;25;32;0;0;0,239037;0,0932;1;4;0;-0,368625;0,490683;-0,709494;1,065511;2
135;22;6;7;15;25;26;32;0;0;0,124772;-0,0210;1;4;0;0,116454;0,861059;0,822796;-1,550765;2
136;36;6;14;15;25;26;30;0;0;1,484570;1,3388;1;4;0;-0,219774;1,902141;-0,158745;1,445519;2
137;41;6;14;15;25;32;43;0;0;-1,118134;-1,2639;1;4;0;-1,414085;0,319942;-1,342549;0,200424;2
138;16;6;7;14;25;32;43;0;0;-0,437798;-0,5836;1;4;0;0,403649;0,104546;-0,259439;-1,124351;2
139;78;14;15;25;26;30;32;0;0;-0,653631;-0,7994;1;4;0;0,094564;-0,392792;-1,198951;0,189916;2
140;7;6;7;14;15;26;43;0;0;-0,417658;-0,5635;1;4;0;0,295075;-0,411179;-0,540504;-0,178709;2
141;84;15;25;26;30;32;43;0;0;1,038017;0,8922;1;4;0;1,377310;-0,402423;0,703715;0,397432;2
142;11;6;7;14;25;26;30;0;0;1,436413;1,2906;1;4;0;0,420285;1,162264;1,028561;0,261715;2
143;14;6;7;14;25;30;32;0;0;0,569574;0,4238;1;4;0;1,078732;-0,538140;1,157273;-0,558717;2
144;25;6;7;15;25;30;43;0;0;2,528716;2,3829;1;4;0;-0,414156;-0,542518;3,472344;2,541763;2
145;35;6;7;26;30;32;43;0;0;1,684206;1,5384;1;4;0;0,487706;1,869744;1,461980;-0,451019;2
146;13;6;7;14;25;26;43;0;0;-0,737688;-0,8835;1;4;0;-0,278439;-0,998703;0,264167;-0,462401;2
147;45;6;14;15;30;32;43;0;0;-1,378185;-1,5240;1;4;0;-1,780959;-0,647590;0,203751;-0,531573;2
148;67;7;14;25;26;30;32;0;0;-0,463190;-0,6090;1;4;0;0,386137;-0,837594;-1,606103;1,131180;2
149;39;6;14;15;25;30;32;0;0;-0,643124;-0,7889;1;4;0;-0,028895;-0,514499;-1,029086;0,286232;2
150;76;7;15;26;30;32;43;0;0;2,054144;1,9083;1;4;0;0,546371;0,734098;0,335090;2,492729;2
151;40;6;14;15;25;30;43;0;0;0,781906;0,6361;1;4;0;1,344037;0,633405;-0,819819;0,406188;2
152;66;7;14;15;30;32;43;0;0;0,373003;0,2272;1;4;0;-0,437797;0,826036;1,307000;-0,949232;2
153;81;14;15;25;30;32;43;0;0;-0,111639;-0,2574;1;4;0;0,112952;1,098345;0,018125;-1,452699;2
154;5;6;7;14;15;26;30;0;0;0,999053;0,8533;1;4;0;0,818681;0,474922;-0,058927;0,763431;2
155;29;6;7;15;26;32;43;0;0;2,039697;1,8939;1;4;0;1,626854;1,196412;1,327138;-0,071011;2
156;27;6;7;15;26;30;32;0;0;-0,446115;-0,5919;1;4;0;2,181981;-1,235113;-1,529050;-0,310048;2
157;34;6;7;25;30;32;43;0;0;-2,370233;-2,5160;1;4;0;-0,829188;-1,700929;-0,501978;-1,708372;2
158;20;6;7;14;30;32;43;0;0;-0,077928;-0,2237;1;4;0;-1,432472;0,555477;0,112689;0,608450;2
159;30;6;7;15;30;32;43;0;0;1,617661;1,4719;1;4;0;0,237286;-0,544269;1,123125;2,419180;2
160;23;6;7;15;25;26;43;0;0;0,696973;0,5512;1;4;0;-0,425539;1,066824;0,349975;0,402686;2
161;51;6;15;25;26;30;32;0;0;-0,076614;-0,2224;1;4;0;0,034148;-1,155434;-0,044918;1,012975;2
162;63;7;14;15;26;30;32;0;0;0,962278;0,8165;1;4;0;-0,399271;1,275216;1,747424;-0,698812;2
163;31;6;7;25;26;30;32;0;0;0,139220;-0,0066;1;4;0;-0,235535;-0,428691;-0,332113;1,274778;2
164;50;6;14;26;30;32;43;0;0;0,150164;0,0044;1;4;0;-1,519156;0,453908;1,508386;-0,142809;2
165;83;14;25;26;30;32;43;0;0;0,086684;-0,0591;1;4;0;-0,063918;0,399621;-0,892493;0,730158;2
166;65;7;14;15;26;32;43;0;0;-0,127399;-0,2732;1;4;0;0,996426;-1,286773;-0,223539;0,259088;2
167;33;6;7;25;26;32;43;0;0;0,603284;0,4575;1;4;0;0,276688;0,292799;0,502328;0,134754;2
168;24;6;7;15;25;30;32;0;0;-1,831743;-1,9775;1;4;0;0,488582;-1,779733;-0,113214;-2,259121;2
169;72;9;22;32;38;42;46;0;0;-1,150706;-0,1099;2;4;1;-2,333459;1,135558;-1,190458;0,086947;3
170;59;9;15;22;32;38;49;0;0;-2,920720;-1,8799;2;4;1;-3,655606;-0,880060;-0,278089;-1,027685;3
171;10;8;9;15;22;46;49;0;0;1,804863;2,8457;2;4;1;-0,617294;2,164382;-1,609868;3,672505;3
172;51;8;22;32;38;42;46;0;0;-0,002364;1,0385;2;4;1;-1,247722;0,469231;-0,672106;1,445869;3
173;79;15;22;32;38;42;49;0;0;-0,873143;0,1677;2;4;1;-2,702960;-0,331062;1,796194;-0,508458;3
174;54;8;22;32;42;46;49;0;0;-2,861179;-1,8203;2;4;1;-2,141704;-1,083198;-0,989071;-1,508386;3
175;25;8;9;22;32;42;49;0;0;-0,332025;0,7088;2;4;1;-2,744112;-0,452770;1,462593;1,070239;3
176;68;9;15;32;38;42;49;0;0;-0,553113;0,4877;2;4;1;-2,889461;1,904330;1,149130;-1,270225;3
177;55;8;22;38;42;46;49;0;0;-1,510575;-0,4697;2;4;1;-2,110182;-2,569081;-0,419059;2,077172;3
178;77;9;32;38;42;46;49;0;0;-2,260959;-1,2201;2;4;1;-2,640792;-1,001767;-0,652843;-0,226516;3
179;39;8;15;22;32;42;46;0;0;-1,358222;-0,3174;2;4;1;-1,374683;-2,246863;1,472224;-0,567122;3
180;15;8;9;15;32;42;49;0;0;-3,481100;-2,4402;2;4;1;-3,031307;-1,362512;-1,138798;-1,429583;3
181;40;8;15;22;32;42;49;0;0;-1,316193;-0,2753;2;4;1;-2,348344;-0,107786;-0,166013;-0,010244;3
182;29;8;9;22;38;46;49;0;0;1,166117;2,2070;2;4;1;-0,248669;-0,875682;1,261206;2,195378;3
183;32;8;9;32;38;42;49;0;0;-0,360920;0,6799;2;4;1;-1,786212;-0,774113;0,432894;1,405592;3
184;48;8;15;32;38;46;49;0;0;0,061554;1,1024;2;4;1;-0,438673;0,705641;0,707830;-0,851691;3
185;58;9;15;22;32;38;46;0;0;-0,513711;0,5271;2;4;1;-2,290555;-1,294216;1,174522;1,382826;3
186;1;8;9;15;22;32;38;0;0;-1,415573;-0,3747;2;4;1;-4,620511;0,582183;0,626400;0,580782;3
187;18;8;9;15;38;42;49;0;0;-1,549977;-0,5091;2;4;1;-2,194239;-0,553463;-0,533762;0,181511;3
188;53;8;22;32;38;46;49;0;0;-0,829363;0,2115;2;4;1;-0,537615;0,208304;-1,281520;-0,047895;3
189;57;9;15;22;32;38;42;0;0;0,856156;1,8970;2;4;1;0,816054;0,049821;0,280540;0,565897;3
190;20;8;9;15;42;46;49;0;0;-1,122249;-0,0814;2;4;1;-2,813284;1,376347;-0,306108;-0,501453;3
191;9;8;9;15;22;42;49;0;0;-3,536701;-2,4959;2;4;1;-2,619778;-1,359010;-1,729824;-1,364789;3
192;11;8;9;15;32;38;42;0;0;-0,155593;0,8853;2;4;1;0,474572;-0,759228;0,045881;-0,072412;3
193;38;8;15;22;32;38;49;0;0;-2,069642;-1,0288;2;4;1;-1,178550;0,620709;-1,102899;-2,478545;3
194;75;9;22;32;42;46;49;0;0;0,283079;1,3239;2;4;1;0,896609;0,119869;1,070326;-1,520645;3
195;66;9;15;22;42;46;49;0;0;-1,176536;-0,1357;2;4;1;-1,739806;-1,653210;0,516951;0,522992;3
196;12;8;9;15;32;38;46;0;0;-0,286932;0,7539;2;4;1;-0,988546;0,804584;-0,386662;-0,003240;3
197;37;8;15;22;32;38;46;0;0;0,468268;1,5091;2;4;1;-0,844949;1,235376;-0,622197;1,168305;3
198;26;8;9;22;32;46;49;0;0;-1,701455;-0,6606;2;4;1;-2,176728;-0,475535;-0,331500;-0,419147;3
199;84;22;32;38;42;46;49;0;0;0,547072;1,5879;2;4;1;-0,484204;-0,839782;0,324320;2,093809;3
200;4;8;9;15;22;32;49;0;0;-0,868327;0,1725;2;4;1;-0,383510;0,656608;-0,692245;-1,317507;3
201;83;15;32;38;42;46;49;0;0;-2,447023;-1,4062;2;4;1;-2,016494;0,165400;-1,827891;-1,215062;3
202;42;8;15;22;38;42;46;0;0;-0,729545;0,3113;2;4;1;-1,864140;-0,997389;1,368029;0,034411;3
203;31;8;9;32;38;42;46;0;0;-1,558733;-0,5179;2;4;1;-1,727548;0,440336;-0,597681;-1,232574;3
204;28;8;9;22;38;42;49;0;0;-1,258842;-0,2180;2;4;1;-2,897341;1,408744;-0,034674;-0,994412;3
205;6;8;9;15;22;38;46;0;0;-2,317873;-1,2770;2;4;1;-3,059326;-0,450143;-0,976813;-0,149464;3
206;36;8;15;22;32;38;42;0;0;0,002014;1,0429;2;4;1;-1,166292;-1,009648;1,343512;0,836455;3
207;71;9;15;38;42;46;49;0;0;-0,793901;0,2469;2;4;1;-2,823792;1,236252;-1,713188;1,712925;3
208;80;15;22;32;38;46;49;0;0;-1,735165;-0,6943;2;4;1;-1,002555;-1,992940;-0,437447;-0,037388;3
209;50;8;15;38;42;46;49;0;0;-1,510575;-0,4697;2;4;1;-1,166292;-0,400234;-1,215850;-0,238775;3
210;7;8;9;15;22;38;49;0;0;-1,793392;-0,7525;2;4;1;-2,269541;-1,353756;-0,093338;0,129851;3
211;70;9;15;32;42;46;49;0;0;0,492346;1,5332;2;4;1;-0,079679;0,238950;-0,774551;1,599973;3
212;61;9;15;22;32;42;49;0;0;-2,292919;-1,2521;2;4;1;-1,970087;-1,281082;-1,226357;-0,108311;3
213;16;8;9;15;32;46;49;0;0;-0,807473;0,2334;2;4;1;-0,967532;-1,276704;-0,632704;1,261994;3
214;14;8;9;15;32;42;46;0;0;-0,377994;0,6629;2;4;1;-2,261660;0,400059;0,693821;0,411792;3
215;82;15;22;38;42;46;49;0;0;-1,664680;-0,6238;2;4;1;-1,814231;-1,643578;0,936361;-0,807911;3
216;34;8;9;32;42;46;49;0;0;-1,765373;-0,7245;2;4;1;-2,707338;0,867626;0,203488;-1,894523;3
217;41;8;15;22;32;46;49;0;0;1,001942;2,0428;2;4;1;0,323970;-0,642774;0,868064;1,454625;3
218;49;8;15;32;42;46;49;0;0;-1,114369;-0,0735;2;4;1;-1,765198;-0,087647;-0,723766;0,347874;3
219;63;9;15;22;38;42;46;0;0;-0,951946;0,0889;2;4;1;-0,836193;-0,151565;-0,440074;-0,476061;3
220;65;9;15;22;38;46;49;0;0;-1,722031;-0,6812;2;4;1;-3,293110;-0,648027;1,609693;-1,112618;3
