# elotto v3 mode=649 focus=off score=high items=8000/8000 ranked=7834 excl=166 void=0 blocks=52 paused_ms=0 pass_mean=-0,000000 pass_sigma=1,001305 pass_chi2=7853,4627 pass_stouffer=-0,0000 v_eff=1,0127 null_flags=0 flush_timeouts=0 drift_t=0.10 unlimited=on runs_cap=500 rounds=18 run_s=2,00 run_segs=52174 gap_s=0,80
# nodes=master,192.168.178.103,192.168.178.155,192.168.178.145
order;item;n1;n2;n3;n4;n5;n6;e1;e2;z_raw;z_ctr;block;k;skip_rank;z0;z1;z2;z3;round
33;159;6;13;15;41;43;47;0;0;-0,485838;-0,7037;0;4;0;-0,669289;-0,526330;0,831379;-0,607437;1
34;395;13;15;22;41;43;46;0;0;1,401297;1,1834;0;4;0;0,289757;0,654368;1,011549;0,846920;1
35;72;6;7;15;29;33;41;0;0;1,774947;1,5570;0;4;0;0,718201;1,765722;1,511813;-0,445842;1
36;141;6;13;15;22;46;47;0;0;-0,920783;-1,1387;0;4;0;0,806119;0,930504;-0,142526;-3,435662;1
37;155;6;13;15;33;43;46;0;0;-0,333220;-0,5511;0;4;0;-0,632760;-0,715167;-0,274402;0,955888;1
38;248;6;29;33;41;43;47;0;0;-1,355108;-1,5730;0;4;0;-1,245088;-1,809185;-0,663221;1,007277;1
39;150;6;13;15;29;43;47;0;0;-0,340341;-0,5582;0;4;0;-0,515743;-0,798751;0,025880;0,607932;1
40;40;6;7;13;29;33;47;0;0;-1,564997;-1,7829;0;4;0;-0,279851;-0,969014;-0,214346;-1,666783;1
41;178;6;13;22;41;43;46;0;0;0,810948;0,5930;0;4;0;0,112064;1,404145;-0,552396;0,658082;1
42;257;7;13;15;22;29;47;0;0;0,330187;0,1123;0;4;0;-0,008668;2,487637;-1,541160;-0,277436;1
43;443;15;22;29;41;46;47;0;0;-2,119745;-2,3376;0;4;0;0,614186;-2,042600;-1,942981;-0,868094;1
44;312;7;13;29;33;43;47;0;0;-0,192986;-0,4109;0;4;0;0,120113;-0,876143;-1,094142;1,464201;1
45;152;6;13;15;33;41;43;0;0;-0,600688;-0,8186;0;4;0;-0,990622;-0,786368;-0,394515;0,970128;1
46;41;6;7;13;29;41;43;0;0;-0,965671;-1,1836;0;4;0;-0,307093;-1,610442;0,718696;-0,732503;1
47;306;7;13;22;41;46;47;0;0;-0,896017;-1,1139;0;4;0;0,766494;-1,674213;-1,301553;0,417238;1
48;183;6;13;29;33;41;46;0;0;1,027956;0,8101;0;4;0;0,437731;0,628983;0,367025;0,622172;1
49;328;7;15;22;29;41;46;0;0;0,401697;0,1838;0;4;0;-0,562178;-0,665017;1,749562;0,281027;1
50;224;6;15;29;41;43;47;0;0;1,599731;1,3818;0;4;0;1,286570;-1,231529;1,994741;1,149679;1
51;213;6;15;22;41;43;46;0;0;-1,443646;-1,6615;0;4;0;-0,171501;1,331705;-2,836398;-1,211097;1
52;349;7;15;29;41;43;46;0;0;-0,312479;-0,5304;0;4;0;1,368916;-0,400025;-1,200015;-0,393834;1
53;252;6;33;41;43;46;47;0;0;0,042287;-0,1756;0;4;0;-0,110207;0,215398;0,371359;-0,391977;1
54;400;13;15;29;33;41;46;0;0;1,044054;0,8262;0;4;0;0,237749;0,989941;1,006596;-0,146179;1
55;405;13;15;29;41;43;46;0;0;0,295825;0,0779;0;4;0;0,160976;-0,699069;0,787421;0,342322;1
56;190;6;13;29;41;46;47;0;0;0,453705;0,2358;0;4;0;-1,109496;0,848158;-0,162957;1,331705;1
57;209;6;15;22;33;41;47;0;0;0,505403;0,2875;0;4;0;0,369007;1,432006;0,030214;-0,820421;1
58;246;6;22;41;43;46;47;0;0;-1,080830;-1,2987;0;4;0;0,653810;-1,385694;-0,531345;-0,898432;1
59;316;7;13;29;41;46;47;0;0;-0,725135;-0,9430;0;4;0;-2,191132;-0,621058;0,436988;0,924931;1
60;149;6;13;15;29;43;46;0;0;0,037644;-0,1803;0;4;0;-1,485933;1,965703;-1,020464;0,615981;1
61;124;6;7;33;41;46;47;0;0;-0,186485;-0,4044;0;4;0;-1,762069;-1,089127;1,010310;1,467916;1
62;20;6;7;13;15;43;47;0;0;-1,540231;-1,7581;0;4;0;-0,037148;0,445099;-2,118816;-1,369597;1
63;103;6;7;22;33;41;46;0;0;-0,726373;-0,9443;0;4;0;-1,387490;-0,621677;0,100177;0,456243;1
64;126;6;7;41;43;46;47;0;0;1,610566;1,3927;0;4;0;0,586943;0,252547;1,571250;0,810391;1
65;412;13;15;33;43;46;47;0;0;-0,128595;-0,3465;0;4;0;-0,612328;-0,571527;1,064795;-0,138130;1
66;86;6;7;15;33;43;47;0;0;-0,442499;-0,6604;0;4;0;1,027770;-0,605580;0,272297;-1,579485;1
67;396;13;15;22;41;43;47;0;0;-0,207226;-0,4251;0;4;0;0,986288;-1,597440;-0,431663;0,628364;1
68;53;6;7;13;41;43;46;0;0;1,239701;1,0218;0;4;0;0,620377;1,737860;0,229577;-0,108411;1
69;109;6;7;22;41;43;47;0;0;-2,120055;-2,3380;0;4;0;-1,815934;-1,541098;-1,102810;0,219732;1
70;457;22;29;33;41;43;47;0;0;0,690525;0,4726;0;4;0;1,545370;0,719996;0,312541;-1,196857;1
71;31;6;7;13;22;41;43;0;0;0,249699;0,0318;0;4;0;1,183174;0,160914;0,723649;-1,568340;1
72;277;7;13;15;29;46;47;0;0;0,385600;0,1677;0;4;0;1,472312;-0,980158;1,005977;-0,726931;1
73;58;6;7;15;22;29;41;0;0;-1,172772;-1,3907;0;4;0;-0,850077;-0,214903;-1,220446;-0,060118;1
74;75;6;7;15;29;33;47;0;0;1,575275;1,3574;0;4;0;0,112683;0,284123;1,311212;1,442531;1
75;435;15;22;29;33;41;43;0;0;1,564130;1,3462;0;4;0;0,709533;0,717520;0,019689;1,681519;1
76;187;6;13;29;33;46;47;0;0;-0,213417;-0,4313;0;4;0;0,303997;-0,085503;1,076558;-1,721887;1
77;176;6;13;22;33;43;47;0;0;0,596107;0,3782;0;4;0;1,483456;1,378141;0,080983;-1,750367;1
78;254;7;13;15;22;29;41;0;0;1,735322;1,5174;0;4;0;0,487881;1,201686;1,641832;0,139244;1
79;29;6;7;13;22;33;46;0;0;1,279636;1,0617;0;4;0;1,118164;0,985607;1,776804;-1,321304;1
80;93;6;7;22;29;33;43;0;0;-0,410303;-0,6282;0;4;0;0,076773;0,434573;-0,314646;-1,017307;1
81;39;6;7;13;29;33;46;0;0;-0,814601;-1,0325;0;4;0;-0,000000;0,429620;-0,697274;-1,361548;1
82;112;6;7;29;33;41;43;0;0;0,219980;0,0021;0;4;0;-0,657525;0,817820;-0,352414;0,632079;1
83;111;6;7;22;43;46;47;0;0;1,518933;1,3010;0;4;0;0,489739;0,592454;-0,610595;2,566268;1
84;314;7;13;29;41;43;46;0;0;0,529859;0,3120;0;4;0;1,095256;-0,298487;0,130514;0,132434;1
85;340;7;15;22;41;43;47;0;0;0,271059;0,0532;0;4;0;0,177074;0,717520;-0,527011;0,174535;1
86;146;6;13;15;29;41;43;0;0;1,171596;0,9537;0;4;0;0,728107;2,553885;-0,032319;-0,906481;1
87;82;6;7;15;33;41;43;0;0;0,331734;0,1138;0;4;0;0,111445;0,748477;0,080983;-0,277436;1
88;378;7;33;41;43;46;47;0;0;2,909518;2,6916;0;4;0;2,669726;2,535311;0,320590;0,293410;1
89;81;6;7;15;29;46;47;0;0;-1,044611;-1,2625;0;4;0;-0,645762;1,055570;-0,585210;-1,913820;1
90;5;6;7;13;15;22;46;0;0;0,863884;0,6460;0;4;0;-0,308331;1,238835;1,412131;-0,614867;1
91;272;7;13;15;29;41;43;0;0;-1,309602;-1,5275;0;4;0;0,087918;-0,026685;-1,894688;-0,785749;1
92;137;6;13;15;22;41;46;0;0;-0,702847;-0,9207;0;4;0;-2,144077;0,546018;0,638827;-0,446461;1
93;56;6;7;13;43;46;47;0;0;1,738108;1,5202;0;4;0;1,611618;0,120670;0,571341;1,172587;1
94;98;6;7;22;29;41;47;0;0;0,839738;0,6218;0;4;0;0,751634;-0,447699;1,450518;-0,074978;1
95;211;6;15;22;33;43;47;0;0;1,161690;0,9438;0;4;0;0,819120;-0,509613;0,593630;1,420242;1
96;175;6;13;22;33;43;46;0;0;0,135158;-0,0827;0;4;0;-0,084203;0,328701;-0,631645;0,657463;1
97;78;6;7;15;29;41;47;0;0;-0,184008;-0,4019;0;4;0;-0,575799;1,205401;-0,274402;-0,723216;1
98;256;7;13;15;22;29;46;0;0;-1,774266;-1,9922;0;4;0;-1,836984;-0,923817;-0,170387;-0,617343;1
99;364;7;22;29;41;43;46;0;0;-1,136243;-1,3541;0;4;0;-0,757826;-1,835808;-0,155528;0,476675;1
100;329;7;15;22;29;41;47;0;0;0,671642;0,4537;0;4;0;-0,770208;0,238926;2,039319;-0,164753;1
101;77;6;7;15;29;41;46;0;0;0,972853;0,7550;0;4;0;0,658144;0,318795;0,533574;0,435193;1
102;206;6;15;22;29;46;47;0;0;-0,891374;-1,1093;0;4;0;-1,453118;0,531159;-0,133239;-0,727550;1
103;447;15;22;33;41;46;47;0;0;1,411203;1,1933;0;4;0;1,566421;0,694612;0,082222;0,479151;1
104;167;6;13;22;29;41;46;0;0;0,510356;0,2925;0;4;0;0,334335;0,070520;-0,147479;0,763336;1
105;420;13;22;29;41;43;46;0;0;-0,099495;-0,3174;0;4;0;-0,097824;0,792436;-1,123861;0,230258;1
106;43;6;7;13;29;41;47;0;0;-0,419281;-0,6372;0;4;0;-1,760830;0,037086;0,216575;0,668608;1
107;220;6;15;29;33;43;46;0;0;0,212860;-0,0050;0;4;0;-1,738541;0,143578;1,134757;0,885926;1
108;134;6;13;15;22;33;46;0;0;0,701669;0,4838;0;4;0;1,271711;0,027799;0,960779;-0,856950;1
109;199;6;15;22;29;33;46;0;0;2,153241;1,9353;0;4;0;0,684148;1,313750;1,515528;0,793055;1
110;446;15;22;33;41;43;47;0;0;0,430487;0,2126;0;4;0;1,231467;-0,167848;0,511904;-0,714548;1
111;207;6;15;22;33;41;43;0;0;0,607870;0,3900;0;4;0;1,923045;-1,244531;-0,363558;0,900785;1
112;229;6;15;33;41;46;47;0;0;-0,407826;-0,6257;0;4;0;0,358481;0,430859;-1,791292;0,186299;1
113;374;7;29;33;41;43;47;0;0;-0,249327;-0,4672;0;4;0;1,038296;-0,209950;-0,545585;-0,781415;1
114;164;6;13;22;29;33;46;0;0;1,457019;1,2391;0;4;0;-0,081726;0,738571;0,876577;1,380617;1
115;226;6;15;29;43;46;47;0;0;-0,524844;-0,7427;0;4;0;-1,196795;-0,710833;0,083460;0,774481;1
116;51;6;7;13;33;43;47;0;0;-0,172863;-0,3908;0;4;0;-0,293472;-0,022351;0,825188;-0,855092;1
117;10;6;7;13;15;29;46;0;0;-1,057613;-1,2755;0;4;0;-0,687863;-0,411789;-0,425472;-0,590101;1
118;267;7;13;15;22;46;47;0;0;-1,311150;-1,5291;0;4;0;-0,791878;0,942267;-2,363376;-0,409313;1
119;308;7;13;29;33;41;43;0;0;0,024641;-0,1933;0;4;0;-0,130019;-1,022260;0,420890;0,780672;1
120;108;6;7;22;41;43;46;0;0;-0,141287;-0,3592;0;4;0;0,435254;-0,438412;-0,132000;-0,147417;1
121;319;7;13;33;41;43;47;0;0;-0,631955;-0,8499;0;4;0;-0,369626;-0,809276;1,002881;-1,087889;1
122;440;15;22;29;33;46;47;0;0;-0,520200;-0,7381;0;4;0;0,050769;-0,409313;-0,257066;-0,424791;1
123;232;6;22;29;33;41;43;0;0;1,143116;0,9252;0;4;0;-0,300901;-0,183327;1,963784;0,806676;1
124;84;6;7;15;33;41;47;0;0;-1,633722;-1,8516;0;4;0;-2,469744;0,014797;-0,105997;-0,706499;1
125;295;7;13;22;29;43;46;0;0;-0,143765;-0,3617;0;4;0;-1,705727;0,907595;0,059313;0,451290;1
126;157;6;13;15;33;46;47;0;0;2,023221;1,8053;0;4;0;2,268524;2,496924;-0,028604;-0,690402;1
127;68;6;7;15;22;41;47;0;0;-1,619790;-1,8377;0;4;0;-1,266758;-1,882863;0,586820;-0,676780;1
128;237;6;22;29;33;46;47;0;0;0,388695;0,1708;0;4;0;0,124447;0,053803;0,402935;0,196205;1
129;107;6;7;22;33;46;47;0;0;0,706314;0,4884;0;4;0;0,086060;-0,259481;1,119279;0,466769;1
130;26;6;7;13;22;29;47;0;0;0,651829;0,4339;0;4;0;0,416680;0,939171;-0,114045;0,061852;1
131;458;22;29;33;41;46;47;0;0;-0,050584;-0,2685;0;4;0;-1,491505;0,038325;-0,438474;1,790487;1
132;389;13;15;22;33;41;43;0;0;0,073863;-0,1440;0;4;0;-2,848657;2,129156;0,373836;0,493392;1
133;177;6;13;22;33;46;47;0;0;0,385909;0,1680;0;4;0;0,911372;1,823301;-1,893450;-0,069405;1
134;354;7;15;33;41;43;47;0;0;0,680000;0,4621;0;4;0;0,153546;0,851873;0,415318;-0,060738;1
135;450;15;29;33;41;43;46;0;0;1,396653;1,1788;0;4;0;-0,630902;2,024522;0,616538;0,783149;1
136;161;6;13;15;43;46;47;0;0;1,711795;1,4939;0;4;0;0,218556;-0,126366;1,225152;2,106248;1
137;278;7;13;15;33;41;43;0;0;0,259605;0,0417;0;4;0;-0,353528;0,487200;-0,353652;0,739190;1
138;236;6;22;29;33;43;47;0;0;2,237134;2,0192;0;4;0;1,622762;1,593601;0,813424;0,444480;1
139;7;6;7;13;15;29;33;0;0;0,423057;0,2052;0;4;0;0,820359;0,271121;0,103272;-0,348637;1
140;54;6;7;13;41;43;47;0;0;-0,841843;-1,0597;0;4;0;-0,210507;-1,411079;0,126800;-0,188899;1
141;204;6;15;22;29;43;46;0;0;0,629540;0,4116;0;4;0;0,131877;0,303935;0,693931;0,129338;1
142;273;7;13;15;29;41;46;0;0;0,792992;0,5751;0;4;0;-0,187599;0,181965;1,184288;0,407331;1
143;123;6;7;33;41;43;47;0;0;0,451228;0,2333;0;4;0;-1,086588;1,368854;1,094513;-0,474322;1
144;422;13;22;29;41;46;47;0;0;0,968519;0,7506;0;4;0;1,139215;1,464201;-0,847106;0,180727;1
145;265;7;13;15;22;43;46;0;0;0,154661;-0,0632;0;4;0;0,511409;-0,336254;-0,665698;0,799865;1
146;22;6;7;13;22;29;33;0;0;-0,115283;-0,3332;0;4;0;0,612328;1,733526;-1,435906;-1,140515;1
147;145;6;13;15;29;33;47;0;0;0,778443;0,5605;0;4;0;-0,545461;1,526115;-0,171625;0,747858;1
148;355;7;15;33;41;46;47;0;0;-2,113863;-2,3318;0;4;0;0,151689;-1,182617;-0,444665;-2,752133;1
149;452;15;29;33;41;46;47;0;0;0,087484;-0,1304;0;4;0;-0,551033;0,456243;-1,725663;1,995422;1
150;193;6;13;33;41;43;47;0;0;-0,704085;-0,9220;0;4;0;-0,214841;-0,427268;-1,080521;0,314461;1
151;402;13;15;29;33;43;46;0;0;0,616538;0,3986;0;4;0;-1,776309;1,278459;0,444418;1,286508;1
152;174;6;13;22;33;41;47;0;0;0,642542;0,4246;0;4;0;-1,110735;1,675946;-0,297930;1,017802;1
153;57;6;7;15;22;29;33;0;0;1,320499;1,1026;0;4;0;0,175216;1,761388;1,791663;-1,087269;1
154;279;7;13;15;33;41;46;0;0;0,687739;0,4698;0;4;0;-0,652572;1,036376;1,363220;-0,371545;1
155;160;6;13;15;41;46;47;0;0;1,317713;1,0998;0;4;0;1,973814;0,542923;-0,026128;0,144817;1
156;64;6;7;15;22;33;46;0;0;2,542988;2,3251;0;4;0;1,662387;1,281555;1,101324;1,040710;1
157;432;13;29;33;43;46;47;0;0;1,815500;1,5976;0;4;0;0,405536;1,599173;-0,060799;1,687091;1
158;180;6;13;22;41;46;47;0;0;0,748415;0,5305;0;4;0;0,366530;1,007277;0,612823;-0,489801;1
159;113;6;7;29;33;41;46;0;0;1,205339;0,9874;0;4;0;0,742347;0,376994;2,080801;-0,789464;1
160;125;6;7;33;43;46;47;0;0;1,646475;1,4286;0;4;0;1,143549;1,233262;1,487666;-0,571527;1
161;416;13;22;29;33;41;47;0;0;-0,782096;-1,0000;0;4;0;1,165219;-0,997494;-0,222395;-1,509522;1
162;114;6;7;29;33;41;47;0;0;0,996690;0,7788;0;4;0;1,378822;0,801104;0,783087;-0,969633;1
163;344;7;15;29;33;41;46;0;0;-1,391948;-1,6099;0;4;0;-2,024583;-0,681114;0,656782;-0,734980;1
164;163;6;13;22;29;33;43;0;0;-2,623723;-2,8416;0;4;0;-1,437021;-0,524472;-1,011177;-2,274777;1
165;359;7;22;29;33;41;46;0;0;-0,698203;-0,9161;0;4;0;0,225986;-1,900818;0,117513;0,160914;1
166;394;13;15;22;33;46;47;0;0;-0,011269;-0,2292;0;4;0;0,347956;-0,891002;-0,164196;0,684705;1
167;179;6;13;22;41;43;47;0;0;1,806522;1,5886;0;4;0;0,017336;2,118011;0,178188;1,299510;1
168;366;7;22;29;41;46;47;0;0;1,821692;1,6038;0;4;0;-1,115069;3,010809;0,940967;0,806676;1
169;247;6;29;33;41;43;46;0;0;0,763274;0,5454;0;4;0;1,163362;-0,142464;-0,182770;0,688420;1
170;151;6;13;15;29;46;47;0;0;0,505712;0,2878;0;4;0;0,030338;0,019131;1,415846;-0,453891;1
171;97;6;7;22;29;41;46;0;0;1,014954;0,7971;0;4;0;0,987526;1,986135;-0,453952;-0,489801;1
172;283;7;13;15;33;46;47;0;0;0,839428;0,6215;0;4;0;0,064390;-0,413647;0,545337;1,482775;1
173;293;7;13;22;29;41;46;0;0;-0,600069;-0,8180;0;4;0;-1,320623;0,313222;-0,092995;-0,099743;1
174;386;13;15;22;29;43;46;0;0;0,815282;0,5974;0;4;0;-0,156642;1,064857;0,359596;0,362753;1
175;419;13;22;29;33;46;47;0;0;2,199985;1,9821;0;4;0;0,372721;1,851163;1,308735;0,867351;1
176;408;13;15;29;43;46;47;0;0;0,516238;0,2983;0;4;0;0,905181;-0,406836;-0,343127;0,877258;1
177;192;6;13;33;41;43;46;0;0;2,446093;2,2282;0;4;0;1,659292;0,789959;1,818286;0,624649;1
178;406;13;15;29;41;43;47;0;0;1,431944;1,2140;0;4;0;-0,764017;1,835065;1,841814;-0,048974;1
179;186;6;13;29;33;43;47;0;0;-0,316194;-0,5341;0;4;0;-1,313193;0,579452;-0,349318;0,450671;1
180;255;7;13;15;22;29;43;0;0;-1,226328;-1,4442;0;4;0;-0,379532;-1,459991;0,717458;-1,330591;1
181;117;6;7;29;33;46;47;0;0;0,341641;0,1237;0;4;0;1,403587;1,944653;-0,943691;-1,721267;1
182;105;6;7;22;33;43;46;0;0;-1,270906;-1,4888;0;4;0;-2,061732;-1,245150;0,074792;0,690278;1
183;403;13;15;29;33;43;47;0;0;-1,111787;-1,3297;0;4;0;-1,496458;0,555925;-1,778909;0,495868;1
184;250;6;29;33;43;46;47;0;0;0,296444;0,0785;0;4;0;-0,111445;0,716901;-0,360463;0,347894;1
185;79;6;7;15;29;43;46;0;0;1,105348;0,8874;0;4;0;0,933042;-0,157942;1,647404;-0,211807;1
186;397;13;15;22;41;46;47;0;0;-0,704704;-0,9226;0;4;0;-2,921096;2,200976;0,526763;-1,216050;1
187;365;7;22;29;41;43;47;0;0;0,062100;-0,1558;0;4;0;0,327524;0,945363;-1,215493;0,066805;1
188;120;6;7;29;41;46;47;0;0;-0,945858;-1,1638;0;4;0;0,183884;0,003653;-0,845248;-1,234005;1
189;263;7;13;15;22;41;46;0;0;0,488067;0,2702;0;4;0;-1,103924;0,710709;0,354643;1,014706;1
190;133;6;13;15;22;33;43;0;0;-0,639075;-0,8570;0;4;0;-1,053774;0,955888;-0,969076;-0,211188;1
191;70;6;7;15;22;43;47;0;0;-0,922640;-1,1405;0;4;0;0,301521;-0,956631;-0,333220;-0,856950;1
192;144;6;13;15;29;33;46;0;0;-0,214036;-0,4319;0;4;0;0,146117;-0,214284;-0,592020;0,232115;1
193;387;13;15;22;29;43;47;0;0;-0,302573;-0,5205;0;4;0;-0,680433;-0,548000;-0,346222;0,969509;1
194;23;6;7;13;22;29;41;0;0;1,325143;1,1072;0;4;0;0,570227;-0,000681;1,801570;0,279170;1
195;297;7;13;22;29;46;47;0;0;1,087393;0,8695;0;4;0;0,030957;-0,018636;1,651119;0,511347;1
196;274;7;13;15;29;41;47;0;0;0,263010;0,0451;0;4;0;0,026004;0,000557;-0,205678;0,705137;1
197;235;6;22;29;33;43;46;0;0;-2,358423;-2,5763;0;4;0;-2,660439;-1,025975;-0,971552;-0,058880;1
198;264;7;13;15;22;41;47;0;0;1,091727;0,8738;0;4;0;1,153455;0,811629;1,025170;-0,806800;1
199;154;6;13;15;33;41;47;0;0;1,539055;1,3212;0;4;0;0,056342;1,642513;1,532244;-0,152989;1
200;88;6;7;15;41;43;46;0;0;1,295114;1,0772;0;4;0;0,829646;0,988703;0,270440;0,501440;1
201;363;7;22;29;33;46;47;0;0;0,977187;0,7593;0;4;0;0,604279;1,207878;-0,153670;0,295886;1
202;210;6;15;22;33;43;46;0;0;-0,101043;-0,3189;0;4;0;1,335482;-0,686687;-1,480484;0,629602;1
203;342;7;15;22;43;46;47;0;0;0,498902;0,2810;0;4;0;-0,859364;0,152246;0,684024;1,020898;1
204;221;6;15;29;33;43;47;0;0;-1,078075;-0,8877;1;4;0;-1,145406;-1,993750;0,528249;0,454757;1
205;398;13;15;22;43;46;47;0;0;0,313439;0,5038;1;4;0;-0,401202;0,726745;-0,980592;1,281927;1
206;462;29;33;41;43;46;47;0;0;1,456059;1,6464;1;4;0;0,941710;1,008453;0,109711;0,852244;1
207;128;6;13;15;22;29;41;0;0;-0,946818;-0,7564;1;4;0;-1,005481;-0,236016;0,122094;-0,774233;1
208;185;6;13;29;33;43;46;0;0;-0,299199;-0,1088;1;4;0;0,398106;0,477232;0,049655;-1,523391;1
209;129;6;13;15;22;29;43;0;0;0,644369;0,8348;1;4;0;-0,733679;0,949635;-0,174473;1,247255;1
210;169;6;13;22;29;43;46;0;0;-2,011427;-1,8210;1;4;0;-0,906419;-0,540013;-0,321828;-2,254593;1
211;12;6;7;13;15;33;41;0;0;-1,412410;-1,2220;1;4;0;-0,117017;-0,448999;-2,236824;-0,021979;1
212;38;6;7;13;29;33;43;0;0;0,295175;0,4856;1;4;0;1,646909;0,355262;-1,648642;0,236821;1
213;195;6;13;33;43;46;47;0;0;0,831968;1,0224;1;4;0;0,403678;1,873390;1,109001;-1,722134;1
214;438;15;22;29;33;43;46;0;0;2,278275;2,4687;1;4;0;2,942147;1,061699;-0,963875;1,516580;1
215;350;7;15;29;41;43;47;0;0;0,303842;0,4942;1;4;0;0,614186;-0,232920;0,793240;-0,566821;1
216;322;7;13;41;43;46;47;0;0;0,827014;1,0174;1;4;0;-0,176455;1,290161;-0,758321;1,298643;1
217;45;6;7;13;29;43;47;0;0;0,921433;1,1118;1;4;0;1,391824;-0,197629;-0,687739;1,336411;1
218;202;6;15;22;29;41;46;0;0;-1,452345;-1,2620;1;4;0;0,077392;-0,932547;-2,099995;0,050460;1
219;326;7;15;22;29;33;47;0;0;0,454912;0,6453;1;4;0;-2,049968;2,434949;1,003748;-0,478904;1
220;191;6;13;29;43;46;47;0;0;-0,706592;-0,5162;1;4;0;1,223418;0,596726;-2,147668;-1,085660;1
221;198;6;15;22;29;33;43;0;0;-0,695447;-0,5051;1;4;0;0,294710;0,319971;-0,983068;-1,022508;1
